[14:35:44.884] REQ POST https://nbafantasy.cda1234567.com/api/draft/ai-advance
[14:35:44.903] league r3cv26x-94141 created
[14:35:45.024] RSP 200 https://nbafantasy.cda1234567.com/api/draft/ai-advance
[14:35:47.274] setup done, draft view visible
[14:35:47.424] initial draft: current=0 human=0 picks=0 rnd=1 pos=1
[14:35:47.424] HUMAN TURN confirmed - clicking draft
[14:35:47.437] clicking human draft pid=203999
[14:35:47.476] REQ POST https://nbafantasy.cda1234567.com/api/draft/pick
[14:35:47.607] RSP 200 https://nbafantasy.cda1234567.com/api/draft/pick
[14:35:48.132] poll-0.0s: current=1 human=0 picks=1 complete=False rnd=1/2
[14:35:48.768] poll-0.5s: current=1 human=0 picks=1 complete=False rnd=1/2
[14:35:49.114] REQ POST https://nbafantasy.cda1234567.com/api/draft/ai-advance
[14:35:49.251] RSP 200 https://nbafantasy.cda1234567.com/api/draft/ai-advance
[14:35:49.421] poll-1.0s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:35:50.079] poll-1.5s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:35:50.722] poll-2.0s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:35:51.375] poll-2.5s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:35:52.020] poll-3.0s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:35:52.672] poll-3.5s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:35:53.319] poll-4.0s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:35:54.087] poll-4.5s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:35:54.747] poll-5.0s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:35:55.394] poll-5.5s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:35:56.042] poll-6.0s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:35:56.686] poll-6.5s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:35:57.368] poll-7.0s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:35:58.027] poll-7.5s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:35:58.678] poll-8.0s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:35:59.334] poll-8.5s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:35:59.980] poll-9.0s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:36:00.635] poll-9.5s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:36:01.282] poll-10.0s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:36:01.929] poll-10.5s: current=2 human=0 picks=2 complete=False rnd=1/3
[14:36:02.586] poll-11.0s: current=2 human=0 picks=2 complete=False rnd=1/3
